data_type,study_number_meta,author,year,title,link_to_paper,source,Diagnosis,n,pclr_score,Offending,Number violent convictions (mean),Age at 1st Violent conviction (mean),age,IQ,% Right handed,male_percent,Axis_I_comorbidity %,Substance Misuse Disorder Historical,Other Personality Disorder Comorbidity,Active Substance Misuse,white_ethnicity,black_ethnicity,other_ethnicity,Psychotropic meds,tracing,units,MRI_SCANNER,whole_brain_mn_l,whole_brain_sd_l,whole_brain_mn_r,whole_brain_sd_r,whole_brain_mn,whole_brain_sd,intracranial_mn_l,intracranial_sd_l,intracranial_mn_r,intracranial_sd_r,intracranial_mn,intracranial_sd,white_matter_mn_l,white_matter_sd_l,white_matter_mn_r,white_matter_sd_r,white_matter_mn,white_matter_sd,gray_matter_mn_l,gray_matter_sd_l,gray_matter_mn_r,gray_matter_sd_r,gray_matter_mn,gray_matter_sd,csf_mn_l,csf_sd_l,csf_mn_r,csf_sd_r,csf_mn,csf_sd,amygdala_mn_l,amygdala_sd_l,amygdala_mn_r,amygdala_sd_r,amygdala_mn,amygdala_sd,amygdala_t,acc_mn_l,acc_sd_l,acc_mn_r,acc_sd_r,acc_mn,acc_sd,acc_t,accumbens_mn_l,accumbens_sd_l,accumbens_p_l,accumbens_mn_r,accumbens_sd_r,accumbens_p_r,accumbens_mn,accumbens_sd,caudate_mn_l,caudate_sd_l,caudate_mn_r,caudate_sd_r,caudate_mn,caudate_sd,caudate_t,cerebellum_mn_l,cerebellum_sd_l,cerebellum_mn_r,cerebellum_sd_r,cerebellum_mn,cerebellum_sd,corpus_callosum_mn_l,corpus_callosum_sd_l,corpus_callosum_mn_r,corpus_callosum_sd_r,corpus_callosum_mn,corpus_callosum_sd,frontal_mn_l,frontal_sd_l,frontal_mn_r,frontal_sd_r,frontal_mn,frontal_sd,frontal_t,hippocampus_mn_l,hippocampus_sd_l,hippocampus_mn_r,hippocampus_sd_r,hippocampus_mn,hippocampus_sd,insula_mn_l,insula_sd_l,insula_mn_r,insula_sd_r,insula_mn,insula_sd,lateral_ventricle_mn_l,lateral_ventricle_sd_l,lateral_ventricle_mn_r,lateral_ventricle_sd_r,lateral_ventricle_mn,lateral_ventricle_sd,lingualgyrus_mn_r,lingualgyrus_sd_r,lingualgyrus_mn_l,lingualgyrus_sd_l,lingualgyrus_mn,lingualgyrus_sd,occipital_mean_l,occipital_sd_l,occipital_mean_r,occipital_sd_r,occipital_mean,occipital_sd,pallidum_mn_l,pallidum_sd_l,pallidum_mn_r,pallidum_sd_r,pallidum_mn,pallidum_sd,pallidum_t,parahippocampal_mn_l,parahippocampal_sd_l,parahippocampal_mn_r,parahippocampal_sd_r,parahippocampal_mn,parahippocampal_sd,parietal_mn_l,parietal_sd_l,parietal_mn_r,parietal_sd_r,parietal_mn,parietal_sd,precuneus_mn_l,precuneus_sd_l,precuneus_mn,precuneus_sd,putamen_mn_l,putamen_sd_l,putamen_mn_r,putamen_sd_r,putamen_mn,putamen_sd,putamen_t,striatum_mn_l,striatum_sd_l,striatum_mn_r,striatum_sd_r,striatum_mn,striatum_sd,thalamus_mn_l,thalamus_sd_l,thalamus_mn_r,thalamus_sd_r,thalamus_mn,thalamus_sd,third_ventricle_mn_l,third_ventricle_sd_l,third_ventricle_mn_r,third_ventricle_sd_r,third_ventricle_mn,third_ventricle_sd
Raw figures,15,"Dolan et al,",2002,Quantitative frontal and temporal structural MRI studies in personality-disordered offenders and control subjects,https://www.sciencedirect.com/science/article/pii/S0925492702000859?via%3Dihub,ovid_search,ASPD+P,18,,Violent,,,30.44,106.8,1,1,No,Mixed,,No,,,,No,Manual,cm3,0.5,553.51,67.7,561.9,65.07,1115.43,127.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.63,14.5,76.49,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,3.09,7.46,3.75,,
Raw figures,15,"Dolan et al,",2002,Quantitative frontal and temporal structural MRI studies in personality-disordered offenders and control subjects,https://www.sciencedirect.com/science/article/pii/S0925492702000859?via%3Dihub,ovid_search,HCA,19,,Non-offender,,,30.52,113.52,1,1,No,No,,No,,,,No,Manual,cm3,0.5,568.13,50.95,573.14,43.5,1145.3,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,20.21,75.65,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,3.91,7.34,2.52,,
Raw figures,16,"Glenn et al,",2011,Increased Volume of the Striatum in Psychopathic Individuals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2794920/,ovid_search,ASPD+P,22,27.2,Violent,,,31.1,107.5,,1,No,Mixed,,Not Specified,,,,No,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5948,,6242,,12184,1191,,,,,,,,,,,,
Raw figures,16,"Glenn et al,",2011,Increased Volume of the Striatum in Psychopathic Individuals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2794920/,ovid_search,HCA,22,10.3,Non-offender,,,31,113.3,,1,No,Mixed,,Not Specified,,,,No,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5370,,5558,,11116,1602,,,,,,,,,,,,
Graph_Digitizer,17,"Raine et al (1),",2000,Reduced prefrontal gray matter volume and reduced autonomic activity in antisocial personality disorder. ,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/481571,ovid_search,ASPD,21,28.5,Mixed,3.9,,31.9,98.4,,1,Mixed,,Mixed,Mixed,0.38,,,Not specified,Manual,cm3,1.5,,,,,,,,,,,,,,,,,55.31,4.9,,,,,72.88,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,"Raine et al (1),",2000,,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/481572,ovid_search,HCA,34,14.2,Mixed,1.2,,30.4,100.9,,1,Mixed,,No,No,0.47,,,Not specified,Manual,cm3,1.5,,,,,,,,,,,,,,,,,52.24,3.6,,,,,81.74,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw figures,18,"Raine et al (2),",2003,Corpus Callosum Abnormalities in Psychopathic Antisocial Individuals,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/207996,ovid_search,ASPD+P,15,30.3,Not Specified,,,31.6,97.7,0.91,1,Mixed,,Not specified,Mixed,0.33,,,Not specified,Manual,NORMALISED,1.5,,,,,,,,,,,,,,,,,0.38,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,"Raine et al (2),",2003,Corpus Callosum Abnormalities in Psychopathic Antisocial Individuals,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/207997,ovid_search,HCA,25,10.8,Not Specified,,,28.8,101.6,0.91,1,Mixed,,Not specified,Mixed,0.56,,,Not specified,Manual,NORMALISED,1.5,,,,,,,,,,,,,,,,,0.31,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,"Wallace et al,",2014,Cortical and subcortical abnormalities in youths with conduct disorder and elevated callous-unemotional traits. ,https://www.sciencedirect.com/science/article/pii/S0890856713008885?casa_token=RYN9wYUuBREAAAAA:sEZ9vTFtFIKr6dd9KadxjR2yb5E3s5UUk8hRxDI3XYSdQfrimof4CKKtRX3xyqH8t83wB0VSmnI#abssec0020,ovid_search,DBD,22,,,,,15.04,94.05,0.81,1,Mixed,Not specified,,,0.18,,,Mixed,Freesurfer segmentation,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.67,,,,,,,,,,,,,,,,,,,,,,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,-3.42,,,,,,,,,,,,,,,,,,
,19,"Wallace et al,",2014,Cortical and subcortical abnormalities in youths with conduct disorder and elevated callous-unemotional traits. ,https://www.sciencedirect.com/science/article/pii/S0890856713008885?casa_token=RYN9wYUuBREAAAAA:sEZ9vTFtFIKr6dd9KadxjR2yb5E3s5UUk8hRxDI3XYSdQfrimof4CKKtRX3xyqH8t83wB0VSmnI#abssec0021,ovid_search,HCY,27,,,,,14.85,110.96,0.81,1,Mixed,Not specified,,,0.42,,,Mixed,Freesurfer segmentation,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.67,,,,,,,,,,,,,,,,,,,,,,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,-3.42,,,,,,,,,,,,,,,,,,
,20,"Yang et al (1),",2009,Localization of deformations within the amygdala in individuals with psychopathy. ,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/210298,ovid_search,ASPD+P,27,27.96,Mixed,,,32.22,98.11,0.85,0.92,Mixed,Mixed,,Not Specified,0.44,,,Not specified,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.1,90,2087.2,110.5,1953.1,168.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,"Yang et al (1),",2009,Localization of deformations within the amygdala in individuals with psychopathy. ,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/210298,ovid_search,HCA,32,10.56,Mixed,,,30.84,108.34,0.78,0.81,Mixed,Mixed,,Not Specified,0.43,,,Not specified,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130.8,82.7,2482.3,101.5,2306.55,199.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,"Yang et al (2),",2005,Volume reduction in prefrontal gray matter in unsuccessful criminal psychopaths.,https://pdf.sciencedirectassets.com/271200/1-s2.0-S0006322300X05239/1-s2.0-S0006322305000983/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEMX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIG1Z8F%2BTwwVS%2BAPBo3zWMFewfMoHS6bs8LU%2BEey1wNGzAiAM2LXg4Flk3KZJ8UTghDvSu23DtaD8USb5CjIXqOci2iq0AwguEAMaDDA1OTAwMzU0Njg2NSIMZ0v1ZGgV6efB10GfKpEDr%2F1IptQl7bZeyZ9Xc%2BQgGDFWflvYFf9YU00GmB%2FXzfkZmcDOybPlrUDRXPJyh1mCT%2F6W82CuLv28QR2K9hsBmiJiLo0cYHQhSEUdZ1DxZ%2FLuPkL%2BQ9qYh%2Bf3%2BpCCFhgc6DbAbwT%2F%2FkyI9RRRFXLdJL4m6twGAz0xsrp2aAg%2F0hllfKIk9Poelp8fGlCHmwOmHnggaOxNBNScdaa4nuAwXETZCHr86hUFefvPumnv4jS0s%2BXA6E3KlATPNXUPI7IW60qRdY3c71G084kK4m1EoJbTlumjxJ2ahEGGchUlUmCnr6QpZbb00Uv5nffNKmOmcqd%2FJZJ7xGb4dWJSUpgPJK6aNkaIpnDgCCSqaYxwZ2vc0%2FHfxUfXtCJPlwUjs5Q88O729MdiO2hNePFEBXxALdJ30hsTQOvEwl31WzFPelAVcAZkboav6ltCqjjaX16Am4cwGLfwguZd8MGWkYX5clUEO0q%2FL%2FQoOHPFlQZck4AaW3H2%2FeVRsZ0drhQRXQXjoSnRlASyntAyz61X%2B6szNcMwlZXmgwY67AGBvmrks6d7u7M4Z9cs98rfZPxTCoNAFtKtsak9q2lDk5oG7rzRSyFonjbZAVPAuVKORzmBxInlXK%2FLWZBJ9pebYyGz8uJqFX7C%2BkowMWEvap%2FygQQakxN8yQP1HTsoj8WWBxosHRrk43Taki1ucW0oJNOoqLZybaYvXZSdEZcGKHWaRapLaaEt63d%2FUUl1WX5ZrlrltMC5O2QmuXCdOh8UZgzeAQTRD9hlZkrEx%2BO0sc2Gn4bmw5BH0xzY2aqNvMnOUy5DkvdfrF1LGO7LMFHj3r523bXXs8%2FVyrA7goyEzLt3pAhDnu7K63pMpg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210416T140103Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY2FUZNMIY%2F20210416%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=453383f6e78ada6c31e2a2e3030680f7511fe2be0b5cb9a464f993ba0e55e9bc&hash=d0fe36686e5d2c5b6c1f81fca32836079c3260453ada2a1872a58da90ff1506c&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0006322305000983&tid=spdf-ad44e16b-77db-40fd-979c-848477318dac&sid=c92bcf9f3f03a74b8d8901935d35a406d00dgxrqb&type=client,ovid_search,ASPD+P,16,30.06,Not Specified,,,33.8,96.4,0.81,1,No,Mixed,Not specified,Not Specified,0.31,,,Not specified,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,0.073,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,"Yang et al (2),",2005,Volume reduction in prefrontal gray matter in unsuccessful criminal psychopaths.,https://pdf.sciencedirectassets.com/271200/1-s2.0-S0006322300X05239/1-s2.0-S0006322305000983/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEMX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIG1Z8F%2BTwwVS%2BAPBo3zWMFewfMoHS6bs8LU%2BEey1wNGzAiAM2LXg4Flk3KZJ8UTghDvSu23DtaD8USb5CjIXqOci2iq0AwguEAMaDDA1OTAwMzU0Njg2NSIMZ0v1ZGgV6efB10GfKpEDr%2F1IptQl7bZeyZ9Xc%2BQgGDFWflvYFf9YU00GmB%2FXzfkZmcDOybPlrUDRXPJyh1mCT%2F6W82CuLv28QR2K9hsBmiJiLo0cYHQhSEUdZ1DxZ%2FLuPkL%2BQ9qYh%2Bf3%2BpCCFhgc6DbAbwT%2F%2FkyI9RRRFXLdJL4m6twGAz0xsrp2aAg%2F0hllfKIk9Poelp8fGlCHmwOmHnggaOxNBNScdaa4nuAwXETZCHr86hUFefvPumnv4jS0s%2BXA6E3KlATPNXUPI7IW60qRdY3c71G084kK4m1EoJbTlumjxJ2ahEGGchUlUmCnr6QpZbb00Uv5nffNKmOmcqd%2FJZJ7xGb4dWJSUpgPJK6aNkaIpnDgCCSqaYxwZ2vc0%2FHfxUfXtCJPlwUjs5Q88O729MdiO2hNePFEBXxALdJ30hsTQOvEwl31WzFPelAVcAZkboav6ltCqjjaX16Am4cwGLfwguZd8MGWkYX5clUEO0q%2FL%2FQoOHPFlQZck4AaW3H2%2FeVRsZ0drhQRXQXjoSnRlASyntAyz61X%2B6szNcMwlZXmgwY67AGBvmrks6d7u7M4Z9cs98rfZPxTCoNAFtKtsak9q2lDk5oG7rzRSyFonjbZAVPAuVKORzmBxInlXK%2FLWZBJ9pebYyGz8uJqFX7C%2BkowMWEvap%2FygQQakxN8yQP1HTsoj8WWBxosHRrk43Taki1ucW0oJNOoqLZybaYvXZSdEZcGKHWaRapLaaEt63d%2FUUl1WX5ZrlrltMC5O2QmuXCdOh8UZgzeAQTRD9hlZkrEx%2BO0sc2Gn4bmw5BH0xzY2aqNvMnOUy5DkvdfrF1LGO7LMFHj3r523bXXs8%2FVyrA7goyEzLt3pAhDnu7K63pMpg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210416T140103Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY2FUZNMIY%2F20210416%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=453383f6e78ada6c31e2a2e3030680f7511fe2be0b5cb9a464f993ba0e55e9bc&hash=d0fe36686e5d2c5b6c1f81fca32836079c3260453ada2a1872a58da90ff1506c&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0006322305000983&tid=spdf-ad44e16b-77db-40fd-979c-848477318dac&sid=c92bcf9f3f03a74b8d8901935d35a406d00dgxrqb&type=client,ovid_search,ASPD-P,13,26.3,Not Specified,,,29.6,99.1,1,1,No,Mixed,Not specified,Not Specified,0.53,,,Not specified,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,0.086,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,"Yang et al (2),",2005,Volume reduction in prefrontal gray matter in unsuccessful criminal psychopaths.,https://pdf.sciencedirectassets.com/271200/1-s2.0-S0006322300X05239/1-s2.0-S0006322305000983/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEMX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIG1Z8F%2BTwwVS%2BAPBo3zWMFewfMoHS6bs8LU%2BEey1wNGzAiAM2LXg4Flk3KZJ8UTghDvSu23DtaD8USb5CjIXqOci2iq0AwguEAMaDDA1OTAwMzU0Njg2NSIMZ0v1ZGgV6efB10GfKpEDr%2F1IptQl7bZeyZ9Xc%2BQgGDFWflvYFf9YU00GmB%2FXzfkZmcDOybPlrUDRXPJyh1mCT%2F6W82CuLv28QR2K9hsBmiJiLo0cYHQhSEUdZ1DxZ%2FLuPkL%2BQ9qYh%2Bf3%2BpCCFhgc6DbAbwT%2F%2FkyI9RRRFXLdJL4m6twGAz0xsrp2aAg%2F0hllfKIk9Poelp8fGlCHmwOmHnggaOxNBNScdaa4nuAwXETZCHr86hUFefvPumnv4jS0s%2BXA6E3KlATPNXUPI7IW60qRdY3c71G084kK4m1EoJbTlumjxJ2ahEGGchUlUmCnr6QpZbb00Uv5nffNKmOmcqd%2FJZJ7xGb4dWJSUpgPJK6aNkaIpnDgCCSqaYxwZ2vc0%2FHfxUfXtCJPlwUjs5Q88O729MdiO2hNePFEBXxALdJ30hsTQOvEwl31WzFPelAVcAZkboav6ltCqjjaX16Am4cwGLfwguZd8MGWkYX5clUEO0q%2FL%2FQoOHPFlQZck4AaW3H2%2FeVRsZ0drhQRXQXjoSnRlASyntAyz61X%2B6szNcMwlZXmgwY67AGBvmrks6d7u7M4Z9cs98rfZPxTCoNAFtKtsak9q2lDk5oG7rzRSyFonjbZAVPAuVKORzmBxInlXK%2FLWZBJ9pebYyGz8uJqFX7C%2BkowMWEvap%2FygQQakxN8yQP1HTsoj8WWBxosHRrk43Taki1ucW0oJNOoqLZybaYvXZSdEZcGKHWaRapLaaEt63d%2FUUl1WX5ZrlrltMC5O2QmuXCdOh8UZgzeAQTRD9hlZkrEx%2BO0sc2Gn4bmw5BH0xzY2aqNvMnOUy5DkvdfrF1LGO7LMFHj3r523bXXs8%2FVyrA7goyEzLt3pAhDnu7K63pMpg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210416T140103Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY2FUZNMIY%2F20210416%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=453383f6e78ada6c31e2a2e3030680f7511fe2be0b5cb9a464f993ba0e55e9bc&hash=d0fe36686e5d2c5b6c1f81fca32836079c3260453ada2a1872a58da90ff1506c&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0006322305000983&tid=spdf-ad44e16b-77db-40fd-979c-848477318dac&sid=c92bcf9f3f03a74b8d8901935d35a406d00dgxrqb&type=client,ovid_search,HCA,23,28.3,Not Specified,,,28.3,105.1,0.74,1,No,No,Not specified,Not Specified,0.42,,,Not specified,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,0.09,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,"Ibrahim et al,",2017,Sex differences in medial prefrontal and parietal cortex structure in children with disruptive behavior,https://www.sciencedirect.com/science/article/pii/S1878929320301341,ovid_search,DBD MALE,58,,Non-offender,,,11.9,107.6,,1,,,,Not Specified,0.741,0.121,0.268,Yes,Freesurfer segmentation,mm3,1,,,,,,,,,,,"1,551,043.37","110,297.95",,,,,"438,958.02","40,799.21",,,,,771635.1,55450.43,,,,,,,1643.28,163.23,1778.43,167.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,"Ibrahim et al,",2017,Sex differences in medial prefrontal and parietal cortex structure in children with disruptive behavior,https://www.sciencedirect.com/science/article/pii/S1878929320301341,ovid_search,DBD FEMALE,30,,Non-offender,,,11.3,105.4,,0,,,,Not Specified,0.7,0.261,0.1,Yes,Freesurfer segmentation,mm3,1,,,,,,,,,,,"1,418,255.62","150,806.84",,,,,"399,050.83","38,075.39",,,,,711580.5,60691.62,,,,,,,1491.22,145.23,1598.32,150.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,"Ibrahim et al,",2017,Sex differences in medial prefrontal and parietal cortex structure in children with disruptive behavior,https://www.sciencedirect.com/science/article/pii/S1878929320301341,ovid_search,HCY MALE,30,,Non-offender,,,12.2,112.8,,1,,,,Not Specified,0.633,0.167,0.2,Yes,Freesurfer segmentation,mm3,1,,,,,,,,,,,"1,578,474.51","131,745.67",,,,,"459,897.35","44,997.68",,,,,795421.039,47193.64,,,,,,,1765.32,209.4,1870.94,168.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,"Ibrahim et al,",2017,Sex differences in medial prefrontal and parietal cortex structure in children with disruptive behavior,https://www.sciencedirect.com/science/article/pii/S1878929320301341,ovid_search,HCY FEMALE,20,,Non-offender,,,12.5,108.9,,0,,,,Not Specified,0.7,0.2,0.1,Yes,Freesurfer segmentation,mm3,1,,,,,,,,,,,"1,422,745.65","141,233.05",,,,,"397,578.65","46,983.60",,,,,705334.03,59661.83,,,,,,,1560.71,218.95,1639.97,237.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
